method,depth,train_data,complexity_penalty,timeout,test_data,time,train_r2,test_r2,leaves,terminal_calls
osrt,10,airfoil,0.0001,1000,airfoil,1001.0,-1.0,-1.0,-1,-1
osrt,10,airfoil,0.001,1000,airfoil,1001.0,-1.0,-1.0,-1,-1
osrt,10,airfoil,0.01,1000,airfoil,729.126,0.684146599,0.684146599,17,-1
osrt,10,airfoil,0.1,1000,airfoil,1.672,0.35306312,0.35306312,3,-1
osrt,10,auction,0.0001,1000,auction,1001.0,-1.0,-1.0,-1,-1
osrt,10,auction,0.001,1000,auction,1001.0,-1.0,-1.0,-1,-1
osrt,10,auction,0.01,1000,auction,715.782,0.930223109,0.930223109,8,-1
osrt,10,auction,0.1,1000,auction,4.023,0.854121535,0.854121535,4,-1
osrt,10,auto_mpg,0.0001,1000,auto_mpg,1001.0,-1.0,-1.0,-1,-1
osrt,10,auto_mpg,0.001,1000,auto_mpg,1001.0,-1.0,-1.0,-1,-1
osrt,10,auto_mpg,0.01,1000,auto_mpg,1001.0,-1.0,-1.0,-1,-1
osrt,10,auto_mpg,0.1,1000,auto_mpg,0.144,0.690938776,0.690938776,3,-1
osrt,10,enb-cool,0.0001,1000,enb-cool,1001.0,-1.0,-1.0,-1,-1
osrt,10,enb-cool,0.001,1000,enb-cool,1001.0,-1.0,-1.0,-1,-1
osrt,10,enb-cool,0.01,1000,enb-cool,40.224,0.896626073,0.896626073,4,-1
osrt,10,enb-cool,0.1,1000,enb-cool,0.007,0.802431069,0.802431069,2,-1
osrt,10,enb-heat,0.0001,1000,enb-heat,1001.0,-1.0,-1.0,-1,-1
osrt,10,enb-heat,0.001,1000,enb-heat,1001.0,-1.0,-1.0,-1,-1
osrt,10,enb-heat,0.01,1000,enb-heat,69.021,0.934772083,0.934772083,6,-1
osrt,10,enb-heat,0.1,1000,enb-heat,0.006,0.791086551,0.791086551,2,-1
osrt,10,optical,0.0001,1000,optical,176.178,0.999994838,0.999994838,10,-1
osrt,10,optical,0.001,1000,optical,118.503,0.998647134,0.998647134,7,-1
osrt,10,optical,0.01,1000,optical,53.894,0.987754836,0.987754836,4,-1
osrt,10,optical,0.1,1000,optical,0.026,0.959097293,0.959097293,3,-1
osrt,10,real-estate,0.0001,1000,real-estate,1001.0,-1.0,-1.0,-1,-1
osrt,10,real-estate,0.001,1000,real-estate,1001.0,-1.0,-1.0,-1,-1
osrt,10,real-estate,0.01,1000,real-estate,1001.0,-1.0,-1.0,-1,-1
osrt,10,real-estate,0.1,1000,real-estate,0.124,0.49297523,0.49297523,2,-1
osrt,10,seoul-bike,0.0001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,10,seoul-bike,0.001,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,10,seoul-bike,0.01,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,10,seoul-bike,0.1,1000,seoul-bike,1001.0,-1.0,-1.0,-1,-1
osrt,10,servo,0.0001,1000,servo,90.12,0.997878667,0.997878667,49,-1
osrt,10,servo,0.001,1000,servo,36.05,0.987769535,0.987769535,20,-1
osrt,10,servo,0.01,1000,servo,25.885,0.948951217,0.948951217,9,-1
osrt,10,servo,0.1,1000,servo,0.026,0.694627348,0.694627348,3,-1
osrt,10,sync,0.0001,1000,sync,19.402,0.990732431,0.990732431,28,-1
osrt,10,sync,0.001,1000,sync,18.983,0.987290947,0.987290947,11,-1
osrt,10,sync,0.01,1000,sync,5.855,0.964080445,0.964080445,6,-1
osrt,10,sync,0.1,1000,sync,0.006,0.873866241,0.873866241,3,-1
osrt,10,yacht,0.0001,1000,yacht,1001.0,-1.0,-1.0,-1,-1
osrt,10,yacht,0.001,1000,yacht,1001.0,-1.0,-1.0,-1,-1
osrt,10,yacht,0.01,1000,yacht,1001.0,-1.0,-1.0,-1,-1
osrt,10,yacht,0.1,1000,yacht,0.011,0.911807465,0.911807465,3,-1
